originalName,commonName
Roy.Spence,Roy.Spence
"Crocker, Ryan C","Ryan Crocker"
S,S
"Zaidi, S Akbar","S. Akbar Zaidi"
"S/CIEA:Pascual and S/EEE Morningstar","S/CIEA:Pascual and S/EEE Morningstar"
SCHU,SCHU
SID,SID
S/SRGIA,SRGIA
STALBOTT,STALBOTT
STATE,STATE
"Jalili, Saeed","Saeed Jalili"
"Berger, Samuel R","Samuel (\Sandy\"") Berger"""
SBerger,"Samuel (\Sandy\"") Berger"""
Sandy,"Samuel (\Sandy\"") Berger"""
shb55,"Samuel (\Sandy\"") Berger"""
"Berger, Samuel","Samuel Berger"
sberger,"Samuel Berger"
"IO/UNP:Debbink, Sarah","Sarah Debbink"
"Teich, Sarah F","Sarah Teich"
"Chambliss, Saxby","Saxby Chambliss"
Sbwhoeop,Sbwhoeop
sgration,"Scott Gration"
"Secretary of State for Foreign and Commonwealth Affairs","Secretary of State for Foreign and Commonwealth Affairs"
"Secretary of State for foreign and commonwealth Affairs","Secretary of State for foreign and commonwealth Affairs"
"See Distribution","See Distribution"
Sheldon_Whitehouse2@Whitehouse.senate.gov,"Sheldon Whitehouse"
Sheldon_Whitehouse2@whitehouse.senate.gov,"Sheldon Whitehouse"
"Whitehouse, Sheldon","Sheldon Whitehouse"
"Pesaru, Shilpa","Shilpa Pesaru"
Shongole37,Shongole37
"Blumenthal, Sidney","Sidney Blumenthal"
Sid,"Sidney Blumenthal"
sbwhoeop,"Sidney Blumenthal"
sbwhoeop@,"Sidney Blumenthal"
sbwhoop,"Sidney Blumenthal"
"Hecker, Sig","Sig Hecker"
"Feridun, Sinirlioglu","Sinirlioglu Feridun"
Sir,Sir
State,State
"Heintz, Stephen B","Stephen Heintz"
Stephen.Roach,"Stephen Roach"
"Bondy, Steve","Steve Bondy"
"Bosworth, Steve","Steve Bosworth"
"NES/ELA:Conlon, Steve","Steve Conlon"
StockJS@state.gov,StockJS@state.gov
"Burns, Strider","Strider Burns"
"Talbott, Strobe","Strobe Talbott"
stalbott,"Strobe Talbott"
stallbott,"Strobe Talbott"
"Kim, Sung Y","Sung Kim"
"IO:Edmonson, Susan","Susan Edmonson"
"Rice, Susan E","Susan Rice"
"Rice, Susan E.","Susan Rice"
RiceSE@state.gov,"Susan Rice"
ricese@state.gov,"Susan Rice"
"Grantham, Suzanne L","Suzanne Grantham"
"Sylan Support Group","Sylan Support Group"
"Syrian Support Group","Syrian Support Group"
"Strobe, Talbott","Talbott Strobe"
Terry.Duffy,"Terry Duffy"
"USUN/HC:Buda, Thomas","Thomas Buda"
"Countryman, Thomas","Thomas Countryman"
"Donilon, Thomas E","Thomas Donilon"
"Donilon, Thomas E.","Thomas Donilon"
"Donilon, Tom","Thomas Donilon"
Thomas_E._Donilon,"Thomas Donilon"
"Nides, Thomas","Thomas Nides"
"Nides, Thomas R","Thomas Nides"
NidesTR@state.gov,"Thomas Nides"
thomas.r.pickering,"Thomas Pickering"
"Shannon, Thomas A","Thomas Shannon"
"WHA: Shannon, Thomas A","Thomas Shannon"
shannonta@state.gov,"Thomas Shannon"
"SRAP/P:Lenderking, T","Timothy Lenderking"
"Flournoy, Tina","Tina Flournoy"
TFlourno,"Tina Flournoy"
Tina.BrownNY,Tina.BrownNY
"Stern, Todd","Todd Stern"
"Stern, Todd D","Todd Stern"
"Stern, Todd D (S/SECC)","Todd Stern"
sterntd@state.gov,"Todd Stern"
"Tillemann, Tomicah","Tomicah Tillemann"
"Tillemann, Tomicah S","Tomicah Tillemann"
TillemannTS@state.gov,"Tomicah Tillemann"
"Elbegdori, Tsakina","Tsakina Elbegdori"
Tyson,Tyson
"U.S. Global Leadership Coalition","U.S. Global Leadership Coalition"
"UN General Assembly","UN General Assembly"
USAID,USAID
USUN,USUN
"United States Mission to the United Nations","United States Mission to the United Nations"
"Estados Unidos Da America","United States of America"
"Estados Unidos De NorteAmerica","United States of America"
"Etat-Unis D'Amerique","United States of America"
"Etats-Unis D'Amerique","United States of America"
"United States of America","United States of America"
"Wilson, Valerie","Valerie Wilson"
valerie,"Valerie Wilson"
"Nuland, Victoria J","Victoria Nuland"
"Varma, Vivek","Vivek Varma"
"Ebeling, Voda","Voda Ebeling"
"Ebelling, Voda","Voda Ebeling"
WHADP,WHADP
"Wall Street Journal","Wall Street Journal"
"Isaacson, Walter","Walter Isaacson"
"NEA:Parrs, Walter","Walter Parrs"
"Washington Post","Washington Post"
"Sherman, Wendy","Wendy Sherman"
"Sherman, Wendy R","Wendy Sherman"
ShermanWR@state.gov,"Wendy Sherman"
wsherman,"Wendy Sherman"
"Ilic, Werner X","Werner Ilic"
"White House","White House"
"Whom It May Concern","Whom It May Concern"
"Burns, William J","William Burns"
Burnswj@state.gov,"William Burns"
burnswj@state.gov,"William Burns"
wburns,"William Burns"
wburns66,"William Burns"
wburns66@,"William Burns"
"Hubbard, William","William Hubbard"
WoodardEW@state.gov,WoodardEW@state.gov
"World Bank","World Bank"
"Yakis, Yasar","Yasar Yakis"
"Gilani, Yousaf Raza","Yousaf Gilani"
"PM Gilani","Yousaf Gilani"
Museveni,"Yoweri Museveni"
"Iscol, Zachary","Zachary Iscol"
abedomj@state.gov,abedomj@state.gov
aclb,aclb
alcb,alcb
"bin Abd al-Aziz Al Saud, Abdullah","bin Abd al-Aziz Al Saud, Abdullah"
bshillady,bshillady
bstrider,bstrider
cfalvo@usaid.gov,cfalvo@usaid.gov
george,george
haroldnaughton,haroldnaughton
jamesprubin,jamesprubin
jamierubin,jamierubin
jhuber2606,jhuber2606
jillichtman,jillichtman
jkeane,jkeane
joe,joe
jonrdavidson,jonrdavidson
joseph.wilson,joseph.wilson
kkazzarelli,kkazzarelli
kktowns,kktowns
kussa,kussa
l,l
latimes.com,latimes.com
lrobinson,lrobinson
lvalmoro,lvalmoro
mayor_re,mayor_re
mh.interiors,mh.interiors
mhcaleja@state.gov,mhcaleja@state.gov
mmoore,mmoore
mon,mon
mspence,mspence
pathfinder,pathfinder
penal@state.gov,penal@state.gov
pennrhodeen,pennrhodeen
postmaster@state.gov,postmaster@state.gov
pvereer,pvereer
pverveer,pverveer
recos,recos
rooneym@state.gov,rooneym@state.gov
rrh.interiors,rrh.interiors
sbwhoep,sbwhoep
williamsbarrett,williamsbarrett
